jobtitle,psychotype,satisfied
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Account/Sales Manager,ENFP,0
Accountant,ENFP,1
Accountant,ENFP,1
Accountant,ENFP,1
Accountant,ENFP,1
Accountant,ENFP,1
Accountant,ENFP,1
Accountant,ENFP,1
Accountant,ENFP,1
Accountant,ENFP,1
Accountant,ENFP,1
Accountant,ENFP,1
Accountant,ENFP,0
Accountant,ENFP,0
Accountant,ENFP,0
Accountant,ENFP,0
Accountant,ENFP,0
Accountant,ENFP,0
Accountant,ENFP,0
Accountant,ENFP,0
Accountant,ENFP,0
Accountant,ENFP,0
Accountant,ENFP,0
Administrator of the trading floor,ENFP,1
Administrator of the trading floor,ENFP,1
Administrator of the trading floor,ENFP,1
Administrator of the trading floor,ENFP,1
Administrator of the trading floor,ENFP,1
Administrator of the trading floor,ENFP,0
Administrator of the trading floor,ENFP,0
Administrator of the trading floor,ENFP,0
Administrator of the trading floor,ENFP,0
Administrator of the trading floor,ENFP,0
Analyst,ENFP,1
Analyst,ENFP,1
Analyst,ENFP,1
Analyst,ENFP,0
Analyst,ENFP,0
Analyst,ENFP,0
Analyst,ENFP,0
Brand manager,ENFP,1
Brand manager,ENFP,1
Brand manager,ENFP,1
Brand manager,ENFP,1
Brand manager,ENFP,0
Brand manager,ENFP,0
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,1
Businessman,ENFP,0
Businessman,ENFP,0
Businessman,ENFP,0
Businessman,ENFP,0
Businessman,ENFP,0
Businessman,ENFP,0
Businessman,ENFP,0
Chief Executive Officer (CEO),ENFP,1
Chief Executive Officer (CEO),ENFP,1
Chief Executive Officer (CEO),ENFP,1
Chief Executive Officer (CEO),ENFP,1
Chief Executive Officer (CEO),ENFP,1
Chief Executive Officer (CEO),ENFP,1
Chief Executive Officer (CEO),ENFP,1
Chief Executive Officer (CEO),ENFP,1
Chief Executive Officer (CEO),ENFP,0
Chief Executive Officer (CEO),ENFP,0
Chief Executive Officer (CEO),ENFP,0
Chief Executive Officer (CEO),ENFP,0
Chief Financial Officer,ENFP,0
Commercial Director,ENFP,1
Commercial Director,ENFP,1
Consultant,ENFP,1
Consultant,ENFP,1
Consultant,ENFP,1
Consultant,ENFP,1
Consultant,ENFP,1
Consultant,ENFP,1
Consultant,ENFP,1
Consultant,ENFP,1
Consultant,ENFP,1
Consultant,ENFP,1
Consultant,ENFP,1
Consultant,ENFP,1
Consultant,ENFP,1
Consultant,ENFP,1
Consultant,ENFP,1
Consultant,ENFP,0
Consultant,ENFP,0
Consultant,ENFP,0
Consultant,ENFP,0
Consultant,ENFP,0
Consultant,ENFP,0
Designer,ENFP,1
Designer,ENFP,1
Designer,ENFP,1
Designer,ENFP,1
Designer,ENFP,1
Designer,ENFP,1
Designer,ENFP,1
Designer,ENFP,1
Designer,ENFP,1
Designer,ENFP,1
Designer,ENFP,1
Designer,ENFP,1
Designer,ENFP,1
Designer,ENFP,1
Designer,ENFP,1
Designer,ENFP,1
Designer,ENFP,1
Designer,ENFP,1
Designer,ENFP,1
Designer,ENFP,1
Designer,ENFP,1
Designer,ENFP,0
Designer,ENFP,0
Designer,ENFP,0
Designer,ENFP,0
Designer,ENFP,0
Designer,ENFP,0
Designer,ENFP,0
Designer,ENFP,0
Designer,ENFP,0
Director of Development,ENFP,1
Director of Development,ENFP,1
Director of Development,ENFP,1
Director of Development,ENFP,0
Director of Development,ENFP,0
Director of Development,ENFP,0
Director of Development,ENFP,0
Director of Security,ENFP,1
Economist,ENFP,1
Economist,ENFP,1
Economist,ENFP,1
Economist,ENFP,1
Economist,ENFP,1
Economist,ENFP,0
Economist,ENFP,0
Economist,ENFP,0
Economist,ENFP,0
Economist,ENFP,0
Economist,ENFP,0
Economist,ENFP,0
Facility guard,ENFP,0
Foreman (manufacturing),ENFP,1
Foreman (manufacturing),ENFP,1
Foreman (manufacturing),ENFP,1
Foreman (manufacturing),ENFP,1
Foreman (manufacturing),ENFP,1
Foreman (manufacturing),ENFP,0
Foreman (manufacturing),ENFP,0
General director,ENFP,1
General director,ENFP,1
General director,ENFP,1
General director,ENFP,1
General director,ENFP,1
General director,ENFP,1
HR manager,ENFP,1
HR manager,ENFP,1
HR manager,ENFP,1
HR manager,ENFP,1
HR manager,ENFP,1
